name,latitude,longitude
Pilõezinhos/PB,-6.859999999999999,-35.551
Água Preta/PE,-8.66,-35.4785
Itambé/PE,-7.4399999999999995,-35.12583333333333
Afuá/PA,-0.22999999999999998,-50.74024615384616
