name,Eventos,Valor Empenhado,Grupo
Oeiras do Pará/PA,2,0.0,No earmark
Oriximiná/PA,21,0.0,No earmark
Ourém/PA,2,0.0,No earmark
Ourilândia do Norte/PA,1,0.0,No earmark
Pacajá/PA,3,0.0,No earmark
Palestina do Pará/PA,2,0.0,No earmark
Paragominas/PA,5,0.0,No earmark
Parauapebas/PA,7,0.0,No earmark
Pau D`Arco/PA,3,0.0,No earmark
Placas/PA,3,0.0,No earmark
Ponta de Pedras/PA,2,0.0,No earmark
Portel/PA,2,0.0,No earmark
Porto de Moz/PA,2,0.0,No earmark
Prainha/PA,10,0.0,No earmark
Quatipuru/PA,1,0.0,No earmark
Rio Maria/PA,4,0.0,No earmark
Rondon do Pará/PA,7,0.0,No earmark
Rurópolis/PA,5,0.0,No earmark
Salvaterra/PA,4,0.0,No earmark
Santa Isabel do Pará/PA,1,0.0,No earmark
Santa Luzia do Pará/PA,3,0.0,No earmark
Santa Maria do Pará/PA,1,0.0,No earmark
Santarém/PA,9,0.0,No earmark
Santarém Novo/PA,1,0.0,No earmark
Santo Antônio do Tauá/PA,1,0.0,No earmark
São Domingos do Araguaia/PA,1,0.0,No earmark
São Domingos do Capim/PA,2,0.0,No earmark
São Félix do Xingu/PA,2,0.0,No earmark
São Geraldo do Araguaia/PA,2,0.0,No earmark
São João do Araguaia/PA,2,0.0,No earmark
São Miguel do Guamá/PA,4,0.0,No earmark
Sapucaia/PA,1,0.0,No earmark
Senador José Porfírio/PA,1,0.0,No earmark
Soure/PA,1,0.0,No earmark
Terra Alta/PA,2,0.0,No earmark
Terra Santa/PA,3,0.0,No earmark
Tomé-Açu/PA,2,0.0,No earmark
Trairão/PA,2,0.0,No earmark
Tucumã/PA,4,0.0,No earmark
Tucuruí/PA,3,0.0,No earmark
Ulianópolis/PA,4,0.0,No earmark
Uruará/PA,4,0.0,No earmark
Vigia/PA,1,0.0,No earmark
Viseu/PA,1,0.0,No earmark
Vitória do Xingu/PA,4,0.0,No earmark
Xinguara/PA,7,0.0,No earmark
Amapá/AP,1,0.0,No earmark
Calçoene/AP,3,0.0,No earmark
Macapá/AP,2,0.0,No earmark
Mazagão/AP,1,0.0,No earmark
Pracuúba/AP,1,0.0,No earmark
Santana/AP,1,0.0,No earmark
Tartarugalzinho/AP,3,0.0,No earmark
Vitória do Jari/AP,1,0.0,No earmark
Araguaína/TO,1,0.0,No earmark
Araguanã/TO,1,0.0,No earmark
Formoso do Araguaia/TO,2,0.0,No earmark
Guaraí/TO,1,0.0,No earmark
Itacajá/TO,1,0.0,No earmark
Lagoa da Confusão/TO,1,0.0,No earmark
Açailândia/MA,3,0.0,No earmark
Afonso Cunha/MA,3,0.0,No earmark
Alto Alegre do Pindaré/MA,3,0.0,No earmark
Anapurus/MA,1,0.0,No earmark
Arame/MA,2,0.0,No earmark
Arari/MA,3,0.0,No earmark
Bacabal/MA,2,0.0,No earmark
Bacuri/MA,1,0.0,No earmark
Bacurituba/MA,1,0.0,No earmark
Barra do Corda/MA,3,0.0,No earmark
Barreirinhas/MA,3,0.0,No earmark
Boa Vista do Gurupi/MA,2,0.0,No earmark
Bom Jardim/MA,2,0.0,No earmark
Buriti/MA,2,0.0,No earmark
Buriti Bravo/MA,1,0.0,No earmark
Buriticupu/MA,4,0.0,No earmark
Cachoeira Grande/MA,2,0.0,No earmark
Cajari/MA,2,0.0,No earmark
Cantanhede/MA,2,0.0,No earmark
Carutapera/MA,1,0.0,No earmark
Centro Novo do Maranhão/MA,1,0.0,No earmark
Codó/MA,3,0.0,No earmark
Colinas/MA,2,0.0,No earmark
Conceição do Lago-Açu/MA,3,0.0,No earmark
Coroatá/MA,1,0.0,No earmark
Cururupu/MA,1,0.0,No earmark
Duque Bacelar/MA,1,0.0,No earmark
Esperantinópolis/MA,1,0.0,No earmark
Formosa da Serra Negra/MA,2,0.0,No earmark
Fortuna/MA,1,0.0,No earmark
Godofredo Viana/MA,1,0.0,No earmark
Governador Nunes Freire/MA,3,0.0,No earmark
Graça Aranha/MA,1,0.0,No earmark
Grajaú/MA,3,0.0,No earmark
Guimarães/MA,1,0.0,No earmark
Icatu/MA,2,0.0,No earmark
Igarapé do Meio/MA,1,0.0,No earmark
Igarapé Grande/MA,1,0.0,No earmark
Imperatriz/MA,1,0.0,No earmark
Itaipava do Grajaú/MA,2,0.0,No earmark
Itapecuru Mirim/MA,2,0.0,No earmark
Itinga do Maranhão/MA,1,0.0,No earmark
Jenipapo dos Vieiras/MA,2,0.0,No earmark
Joselândia/MA,1,0.0,No earmark
Lago da Pedra/MA,2,0.0,No earmark
Lagoa Grande do Maranhão/MA,2,0.0,No earmark
Lima Campos/MA,1,0.0,No earmark
Marajá do Sena/MA,1,0.0,No earmark
Matinha/MA,1,0.0,No earmark
Matões do Norte/MA,2,0.0,No earmark
Mirinzal/MA,2,0.0,No earmark
Monção/MA,4,0.0,No earmark
Nina Rodrigues/MA,2,0.0,No earmark
Olinda Nova do Maranhão/MA,1,0.0,No earmark
Paço do Lumiar/MA,2,0.0,No earmark
Palmeirândia/MA,3,0.0,No earmark
Pedreiras/MA,1,0.0,No earmark
Pedro do Rosário/MA,3,0.0,No earmark
Penalva/MA,1,0.0,No earmark
Peri Mirim/MA,3,0.0,No earmark
Peritoró/MA,1,0.0,No earmark
Pindaré-Mirim/MA,3,0.0,No earmark
Pinheiro/MA,1,0.0,No earmark
Pirapemas/MA,1,0.0,No earmark
Poção de Pedras/MA,2,0.0,No earmark
Presidente Juscelino/MA,1,0.0,No earmark
Presidente Sarney/MA,1,0.0,No earmark
Presidente Vargas/MA,2,0.0,No earmark
Raposa/MA,3,0.0,No earmark
Rosário/MA,3,0.0,No earmark
Santa Helena/MA,1,0.0,No earmark
Santa Inês/MA,3,0.0,No earmark
Santa Luzia/MA,2,0.0,No earmark
Santo Antônio dos Lopes/MA,1,0.0,No earmark
São Benedito do Rio Preto/MA,2,0.0,No earmark
São Bento/MA,3,0.0,No earmark
São Bernardo/MA,1,0.0,No earmark
São João Batista/MA,2,0.0,No earmark
São João do Carú/MA,1,0.0,No earmark
